rId,genres,title
0,fast_food|,摩斯漢堡 
1,fast_food|,麥當勞 
2,Chinese|,老董便當
3,Chinese|,葡吉小廚 
4,Japan|,鐵火燒肉 
5,Japan|,黑毛屋 
6,Korea|,涓豆腐 
7,Japan|,奧特拉麵 
8,Japan|,新高軒
9,Italian|,義塔里
10,Japan|,上村牧場
11,Korea|,偷飯賊
12,British|,英格莉莉
13,Indian|,原味德里 
14,Thai|,頌丹樂 
15,Japan|,日本橋濱町酒食處
16,Korea|,韓鶴亭
17,Japan|,一風堂 
18,American|,貳樓餐廳 
19,Japan|,乾杯列車
20,Japan|,丸壽司 
21,Thai|,瓦城大心 
22,Japan|,金子半之助 
23,Chinese|,扒飯眷村菜 
24,Korea|,韓虎嘯 
25,Japan|,大戶屋 
26,Hong_Kong|,點點心 
27,Japan|,銀座杏子豬排 
28,Chinese|,小南門點心世界 
29,Japan|,雞三和 
30,Thai|,瓦城 EXPRESS 
31,Japan|,大河屋
32,fast_food|,漢堡王 
33,Singaporean|,The Soup Spoon 匙碗湯
34,Chinese|,八方雲集
35,Italian|,GUGU廚房義式料理
36,Hong_Kong|,港苑茶餐廳
